processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
GBCX0422-06	AY602729	487147	NA	NA	Mined from GenBank, NCBI	NA	BOLD:AAA1251	20	Arthropoda	979181	Copepoda	393	Siphonostomatoida	24343	Caligidae	NA	NA	24351	Lepeophtheirus	24355	Lepeophtheirus salmonis	NA	NA	NA	NA	(Krøyer, 1837)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GPS coordinates are merely approximations	69	52	NA	NA	NA	NA	NA	NA	Russia	Komi Republic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBCX0438-06	AY602745	487163	NA	NA	Mined from GenBank, NCBI	NA	BOLD:AAA1251	20	Arthropoda	979181	Copepoda	393	Siphonostomatoida	24343	Caligidae	NA	NA	24351	Lepeophtheirus	24355	Lepeophtheirus salmonis	NA	NA	NA	NA	(Krøyer, 1837)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GPS coordinates are merely approximations	47.7	-63.6	NA	NA	NA	NA	NA	NA	Canada	New Brunswick	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBCX1799-14	KC569367	5134220	NA	KC569367	Mined from GenBank, NCBI	NA	BOLD:ACQ3142	20	Arthropoda	979181	Copepoda	393	Siphonostomatoida	24343	Caligidae	NA	NA	24344	Caligus	649849	Caligus uniartus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ex: Siganus sp.	NA	isolate: HA-2010	0.15592	113.965	Coordinates from country centroid	NA	NA	NA	NA	NA	Indonesia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMNC68019-20	MT920721	12465125	NA	MT920721	Mined from GenBank, NCBI	NA	BOLD:AEG6231	20	Arthropoda	979181	Copepoda	393	Siphonostomatoida	24343	Caligidae	NA	NA	24344	Caligus	1004268	Caligus lacustris	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Russia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMNC68020-20	MT920720	12465126	NA	MT920720	Mined from GenBank, NCBI	NA	BOLD:AEG6231	20	Arthropoda	979181	Copepoda	393	Siphonostomatoida	24343	Caligidae	NA	NA	24344	Caligus	1004268	Caligus lacustris	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Russia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMNC72912-20	KY990993	12470018	NA	KY990993	Mined from GenBank, NCBI	NA	BOLD:AAW8415	20	Arthropoda	979181	Copepoda	393	Siphonostomatoida	24343	Caligidae	NA	NA	24344	Caligus	1004809	Caligus sp. H63_G1_Apcap42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMNC72914-20	KY990991	12470020	NA	KY990991	Mined from GenBank, NCBI	NA	BOLD:AAW8415	20	Arthropoda	979181	Copepoda	393	Siphonostomatoida	24343	Caligidae	NA	NA	24344	Caligus	1004811	Caligus sp. H47_G1_Tmca7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMNC72930-20	KY990975	12470036	NA	KY990975	Mined from GenBank, NCBI	NA	BOLD:AAW8415	20	Arthropoda	979181	Copepoda	393	Siphonostomatoida	24343	Caligidae	NA	NA	24344	Caligus	1004827	Caligus sp. H48_G1_Tmca11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMNC72936-20	KY990969	12470042	NA	KY990969	Mined from GenBank, NCBI	NA	BOLD:AAW8415	20	Arthropoda	979181	Copepoda	393	Siphonostomatoida	24343	Caligidae	NA	NA	24344	Caligus	1004833	Caligus sp. H54_G1_Tmca25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMNC72947-20	KY990958	12470053	NA	KY990958	Mined from GenBank, NCBI	NA	BOLD:AAW8415	20	Arthropoda	979181	Copepoda	393	Siphonostomatoida	24343	Caligidae	NA	NA	24344	Caligus	1004844	Caligus sp. H59_G1_Tmca31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
